group,source,target
Noncommunicable diseases,Congenital anomalies,Other congenital anomalies
Noncommunicable diseases,Noncommunicable diseases,Oral conditions
Noncommunicable diseases,Oral conditions,Dental caries
Noncommunicable diseases,Oral conditions,Periodontal disease
Noncommunicable diseases,Oral conditions,Edentulism
Injuries,Injuries,Unintentional injuries
Injuries,Unintentional injuries,Road injury
Injuries,Unintentional injuries,Poisonings
Injuries,Unintentional injuries,Falls
Injuries,Unintentional injuries,"Fire, heat and hot substances"
Injuries,Unintentional injuries,Drowning
Injuries,Unintentional injuries,Exposure to forces of nature
Injuries,Unintentional injuries,Other unintentional injuries
Injuries,Injuries,Intentional injuries
Injuries,Intentional injuries,Self-harm
Injuries,Intentional injuries,Interpersonal violence
Injuries,Intentional injuries,Collective violence and legal intervention
