Country,Year,Total expenditure on health as a percentage of gross domestic product,General government expenditure on health as a percentage of total expenditure on health,Private expenditure on health as a percentage of total expenditure on health,General government expenditure on health as a percentage of total government expenditure,External resources for health as a percentage of total expenditure on health,Social security expenditure on health as a percentage of general government expenditure on health,Out-of-pocket expenditure as a percentage of private expenditure on health,Out-of-pocket expenditure as a percentage of total expenditure on health,Private prepaid plans as a percentage of private expenditure on health
Chile,2012,7.3,47.7,52.3,14.9,0,9.2,62.1,32.4,37.9
Chile,2000,7.2,36.1,63.9,11,0,19.3,65.5,41.9,34.5
China,2012,5.4,56,44,12.5,0.1,67.9,78,34.3,7
China,2000,4.6,38.3,61.7,10.9,0.1,57.2,95.6,59,1
Colombia,2012,6.8,75.8,24.2,18.5,0.6,84,60.9,14.8,39.1
Colombia,2000,5.9,79.3,20.7,19.3,0.3,66.8,59,12.2,41
Comoros,2012,6.5,38.8,61.2,9.9,18.7,0,67.1,41.1,
Comoros,2000,3.5,43.7,56.3,9.3,21.3,0,100,56.3,
Congo,2012,4,79.2,20.8,8.7,6.4,0,96,20,3.6
Congo,2000,2.1,57.5,42.5,4.8,4.6,0,98.9,42,0.8
Cook Islands,2012,3.3,90.8,9.2,9.3,4.3,0,100,9.2,0
Cook Islands,2000,3.4,90.1,9.9,9.9,2.2,0,100,9.9,0
Costa Rica,2012,10.1,74.7,25.3,27.7,0.1,79.3,91,23,5
Costa Rica,2000,7.1,78.6,21.4,24.1,0.9,80.7,88.2,18.8,2.3
Cote d'Ivoire,2012,6.5,30.4,69.6,8.1,6.7,6.6,78.3,54.5,4
Cote d'Ivoire,2000,6.2,29.6,70.4,10,4.4,2,78.9,55.5,3.8
Croatia,2012,7.3,80.1,19.9,12.7,0,93.5,62.4,12.4,37.6
Croatia,2000,7.8,86.1,13.9,13,0.4,97.6,100,13.9,
Cuba,2012,8.6,94.2,5.8,11.5,0.2,,100,5.8,
Cuba,2000,6.1,90.8,9.2,10.8,0.2,0,100,9.2,0
Cyprus,2012,7.4,46.5,53.5,7.5,,1.5,86.6,46.3,8.3
Cyprus,2000,5.8,41.7,58.3,6.5,0,0,95.7,55.9,4.3
Czech Republic,2012,7.5,84,16,14.2,,92.7,94.1,15,1.3
Czech Republic,2000,6.3,90.3,9.7,13.7,,89.5,100,9.7,0
Democratic Republic of the Congo,2012,3.6,51.5,48.5,12.9,50.8,,66.9,32.5,2.3
Democratic Republic of the Congo,2000,1.4,3.1,96.9,1.8,2.1,,56.5,54.8,0
Denmark,2012,11,85.8,14.2,15.9,,0,87.4,12.4,12.1
Denmark,2000,8.7,83.9,16.1,13.6,0,0,90.9,14.7,8.7
Djibouti,2012,8.8,59.7,40.3,14.1,12.7,9.5,99.2,40,0.8
Djibouti,2000,5.8,67.8,32.2,12,32.6,11.3,98.5,31.7,1.5
Dominica,2012,5.8,70.2,29.8,10.4,3.9,0.1,91.2,27.2,2.6
Dominica,2000,4.8,70.7,29.3,6.6,3.8,0,96.6,28.3,3.4
Dominican Republic,2012,5.4,50.9,49.1,14.3,0.4,41.8,78.9,38.7,17.9
Dominican Republic,2000,6.3,34.5,65.5,15.9,2,17,71.9,47.1,18.7
Ecuador,2012,6.7,44.8,55.2,7.1,0.4,33.1,93.2,51.4,3.7
Ecuador,2000,3.6,31.2,68.8,6.4,4.1,28,85.3,58.6,4.8
Egypt,2012,4.9,39,61,5.8,0.4,20.8,97.7,59.6,1.7
Egypt,2000,5.4,40.5,59.5,7.3,1,24.3,97.4,58,0.4
El Salvador,2012,6.7,62.8,37.2,15.5,1.4,43.1,87.1,32.4,12.9
El Salvador,2000,8,45.2,54.8,14.3,0.9,49.3,94.6,51.8,5.4
Equatorial Guinea,2012,3.4,80.3,19.7,7,1.6,0,84.4,16.6,0
Equatorial Guinea,2000,2.7,79.3,20.7,8.7,7.4,0,80.1,16.6,0
Eritrea,2012,3,46.5,53.5,3.6,24.4,0,100,53.5,0
Eritrea,2000,4.1,39.1,60.9,2.6,29.8,0,100,60.9,0
Estonia,2012,5.9,78.7,21.3,11.7,1.5,86.6,85.3,18.2,1.2
Estonia,2000,5.3,77.2,22.5,11.3,0.3,86.4,88.5,19.9,0
Ethiopia,2012,4.9,60.6,39.4,16.4,40.9,0,90.6,35.7,1.9
Ethiopia,2000,4.4,54.6,45.4,9.4,16,0,79.2,35.9,0.5
Fiji,2012,4,66.2,33.8,9.4,5.6,0,64.1,21.7,25.5
Fiji,2000,3.9,83.6,16.4,11.3,7.4,0,63.5,10.4,26.2
Finland,2012,9.1,75,25,12,0,19.1,74.7,18.7,8.2
Finland,2000,7.2,71.3,28.7,10.6,0,19.5,77.7,22.3,8.8
France,2012,11.6,77.4,22.6,15.8,,95.1,32.9,7.5,58.7
France,2000,10.1,79.4,20.6,15.5,0,94.3,34.4,7.1,61.6
Gabon,2012,3.7,52.8,47.2,7.2,1.2,27.1,85.2,40.3,11.4
Gabon,2000,2.9,40.5,59.5,5.3,2.3,14.5,85.2,50.7,11.4
Gambia,2012,6.2,60,40,12.4,40.7,0,52.5,21,7.3
Gambia,2000,3.6,34.2,65.8,10.4,19.1,0,53.7,35.4,2.3
Georgia,2012,9.2,18,82,5.2,3,68.8,78.9,64.7,11.7
Georgia,2000,6.9,17,83,6.9,1.2,46,99.4,82.5,0.6
Germany,2012,11.3,76.7,23.3,19.3,,88.8,56,13,40
Germany,2000,10.4,79.5,20.5,18.3,0,87.3,55.9,11.4,40.4
Ghana,2012,5.2,68.3,31.7,10.6,11.8,22.2,91.9,29.1,5.5
Ghana,2000,3,50,50,7.8,14.8,0,63.6,31.8,11.1
Greece,2012,9.3,67.1,32.9,11.7,,57.8,86.6,28.4,8.9
Greece,2000,7.9,60,40,10.1,,45.9,85.9,34.4,5.5
Grenada,2012,6.2,47.2,52.8,9,0.7,0.6,97.7,51.6,
Grenada,2000,6.6,52,48,13.2,,0,100,48,
Guatemala,2012,6.4,34.9,65.1,15.3,2.8,47.3,83.9,54.6,4.4
Guatemala,2000,5.4,38.5,61.5,15.9,3.4,42.8,89.4,55,4.2
Guinea,2012,4.5,39.2,60.8,6.8,14.4,4.5,88,53.5,1.1
Guinea,2000,3.5,31.7,68.3,6.4,22.8,1.1,87.9,60.1,1.1
Guinea-Bissau,2012,6.2,24.6,75.4,7.8,32.6,1.5,57,43,0
Guinea-Bissau,2000,4.9,10.5,89.5,2.3,30,5.4,54.7,49,0
Guyana,2012,6.6,66.1,33.9,13.1,11,2.6,92.3,31.3,0.2
Guyana,2000,5.8,84.7,15.3,10.8,3.9,7.1,86.1,13.1,0.3
Haiti,2012,9.6,9.2,90.8,2.4,66.3,,31.7,28.8,
Haiti,2000,6.1,27.7,72.3,16,9.4,0,69.7,50.4,
Honduras,2012,9.5,44.4,55.6,11.8,3.2,29.6,91.5,50.9,6.6
Honduras,2000,6.6,54.2,45.8,18.1,2.5,13.7,95,43.5,5
Hungary,2012,8,62.6,37.4,10.2,,83.3,75.5,28.3,7.1
Hungary,2000,7.2,70.7,29.3,10.6,0,83.9,89.8,26.3,0.6
Iceland,2012,9,80.5,19.5,15.4,0,35.8,92.7,18.1,0
Iceland,2000,9.5,81.1,18.9,18.4,0,33.4,100,18.9,0
India,2012,3.8,30.5,69.5,4.3,1.3,6.5,87.2,60.6,3.3
India,2000,4.3,27,73,4.6,0.5,17.4,91.8,67.1,1.1
Indonesia,2012,3,39.6,60.4,6.6,1.1,17.6,75.1,45.3,2.9
Indonesia,2000,2,36.1,63.9,4.5,,6.3,72.9,46.5,6.4
Iran (Islamic Republic of),2012,6.6,40.4,59.6,17.5,0,47.2,88,52.5,4.2
Iran (Islamic Republic of),2000,4.6,41.6,58.4,10.6,0,57.8,96.2,56.2,3.6
Iraq,2012,4.8,60.5,39.5,6,0.4,,100,39.5,
Iraq,2000,0.8,4.8,95.2,0.1,54.9,0,100,95.2,
Ireland,2012,8.9,67.6,32.4,14.1,,0.2,52.1,16.9,41.3
Ireland,2000,6.2,74.1,25.9,14.7,,1.2,60.8,15.7,26.7
Israel,2012,7.4,59.8,40.2,10.5,,71.8,64.5,25.9,26.4
Israel,2000,7.1,62.6,37.4,9.2,,72.5,75.7,28.3,10.5
Italy,2012,9.2,77.3,22.7,14,,0.4,82.8,18.8,4.3
Italy,2000,7.9,74.2,25.8,12.7,,0.1,89.6,23.1,3.5
Jamaica,2012,5.7,57.8,42.2,7.1,1.8,0.2,59.5,25.1,37
Jamaica,2000,5.5,52.6,47.4,6.6,1.8,0,65,30.8,30
Japan,2012,10.3,82.1,17.9,20,,87,80.2,14.3,14
Japan,2000,7.6,80.8,19.2,15.9,,84.9,80.1,15.4,12.7
Jordan,2012,8,68.7,31.3,17.3,2.9,6.3,69.1,21.7,22.9
Jordan,2000,9.7,48,52,13.7,4.5,9.7,74.9,39,5.3
Kazakhstan,2012,4.3,55.8,44.2,10.9,0.4,,98.9,43.7,0.2
Kazakhstan,2000,4.2,50.9,49.1,9.2,7.4,,98.9,48.5,0.2
Kenya,2012,4.5,40.9,59.1,5.9,48.5,13.1,76.7,45.3,9.3
Kenya,2000,4.7,46.3,53.7,10.6,8,10.9,80.4,43.2,6.6
Kiribati,2012,10.2,81.7,18.3,10,6.6,0,0.5,0.1,0
Kiribati,2000,8,94.9,5.1,8.8,28.5,0,2.5,0.1,0
Kuwait,2012,2.6,82.8,17.2,5.8,,,90.4,15.6,9.6
Kuwait,2000,2.5,76.3,23.7,5.2,0,0,93,22,7
Kyrgyzstan,2012,7,60.2,39.8,12.2,12.2,64.1,88.5,35.2,
Kyrgyzstan,2000,4.7,44.3,55.7,12,6,10,89.3,49.8,
Lao People's Democratic Republic,2012,1.9,31.8,68.2,2.6,32.9,4.2,83.6,57,1.5
Lao People's Democratic Republic,2000,3.3,35.1,64.9,5.8,29.2,1.2,91.8,59.6,0
Latvia,2012,5.9,60.6,36.7,9.8,,,95.7,35.1,4.3
Latvia,2000,6,54.4,45.6,8.7,0.5,,96.8,44.1,3.2
Lebanon,2012,7.5,46.3,53.7,10.7,0.7,39.4,69.5,37.3,29.6
Lebanon,2000,10.9,29.5,70.5,7.6,2.1,46.3,80.7,56.9,16.8
Lesotho,2012,12.1,78.6,21.4,14.5,30.2,0,69,14.8,
Lesotho,2000,6.9,50.2,49.8,6.3,3,0,71.1,35.4,
Liberia,2012,9.4,34.5,65.5,13.2,47.2,0,40.6,26.6,5.6
Liberia,2000,5.9,24.5,75.5,6.7,9.2,0,50.3,38,
Libya,2012,4.3,70.3,29.7,7.9,0.1,,100,29.7,
Libya,2000,3.4,48.7,51.3,6,0,,100,51.3,0
Lithuania,2012,6.7,65.3,31.1,12.1,5,85.1,97.6,30.4,2.3
Lithuania,2000,6.5,69.7,30.3,11.3,1.7,88.3,86.2,26.1,0.3
Luxembourg,2012,7.2,83.5,16.5,13.6,0,83.6,66.3,11,26.9
Luxembourg,2000,7.5,85.1,14.9,16.9,,71,79,11.8,13.1
Madagascar,2012,3.3,50.7,49.3,8.7,23.2,,80.5,39.7,9.7
Madagascar,2000,5,49.6,50.4,15.5,15,,76.6,38.6,5.4
Malawi,2012,9.2,56.1,43.9,22.1,70.3,0,23.3,10.2,4.7
Malawi,2000,6.1,45.8,54.2,9,26.9,0,40.6,22,7.9
Malaysia,2012,4,55.2,44.8,5.7,0,0.9,78,34.9,16.4
Malaysia,2000,3,55.8,44.2,5.3,0.7,0.7,76.3,33.7,10.8
Maldives,2012,11.4,57.1,42.9,16,1,56.5,88.3,37.9,6.5
Maldives,2000,7.1,57.6,42.4,10.9,2.7,0,54.5,23.1,3.6
Mali,2012,5.8,38.8,61.2,12.5,33.7,0.7,99.6,60.9,0.4
Mali,2000,6.3,32.9,67.1,8.9,7.8,1.5,99.1,66.5,0.1
Malta,2012,8.7,65.4,34.6,13.3,0,2.7,93,32.2,6.2
Malta,2000,6.6,72.5,27.5,12.1,,,96.9,26.7,3.1
Marshall Islands,2012,15.6,82.6,17.4,24.4,35.6,14.1,75.2,13.1,24.8
Marshall Islands,2000,22.5,87.9,12.1,21.1,33.1,35,75.2,9.1,24.8
Mauritania,2012,3.8,47,53,5.5,9.3,15.1,90.7,48.1,5.1
Mauritania,2000,5.2,52.6,47.4,10.7,10.6,7.7,94.6,44.9,0.6
Mauritius,2012,4.8,48.2,51.8,9.8,2.4,,91.4,47.3,1.4
Mauritius,2000,3.8,52.1,47.9,8.7,1.4,,74.6,35.8,8.3
Mexico,2012,6.1,51.8,48.2,15.8,0.6,55.1,91.5,44.1,8.5
Mexico,2000,5.1,46.6,53.4,16.6,1,67.6,95.3,50.9,4.7
Micronesia (Federated States of),2012,12.8,90.4,9.6,17.8,70.3,18.5,97.5,9.3,0
Micronesia (Federated States of),2000,7.8,93.9,6.1,10.9,71.5,21.4,100,6.1,0
Monaco,2012,4.3,88.5,11.5,18.8,,98.7,60.7,7,39.3
Monaco,2000,3.3,87.1,12.9,14.2,0,98.1,54.3,7,45.7
Mongolia,2012,6.3,62.8,37.2,9.2,4.1,21.2,93.1,34.6,0
Mongolia,2000,4.7,82.1,17.9,10.9,28,24.1,66.9,11.9,0
Montenegro,2012,7.2,61.7,38.3,9.8,1.3,89.3,100,38.3,
Montenegro,2000,7.3,71,29,16.9,,99,100,29,
Morocco,2012,6.1,35.5,64.5,6,1.2,24.5,88.3,56.9,11.7
Morocco,2000,4.2,29.4,70.6,4.8,0.5,0,76.6,54.1,23.4
Mozambique,2012,5.8,49.4,50.6,8.8,59.5,22.8,14.9,7.5,
Mozambique,2000,6.2,70,30,17,25.3,0.3,40.6,12.2,
Myanmar,2012,1.8,23.9,76.1,1.5,8,3,93.7,71.3,0
Myanmar,2000,2.1,14.2,85.8,8.6,1.1,2.9,100,85.8,0
Namibia,2012,8,61.9,38.1,13.9,8.1,2.5,17.9,6.8,61.2
Namibia,2000,6.1,68.9,31.1,13.9,3.8,1.8,18.2,5.6,77.3
Nauru,2012,7,93.4,6.6,11.5,51.9,0,13,0.9,0
Nauru,2000,13.3,94.4,5.6,11.2,12.7,0,58.4,3.2,0
Nepal,2012,5.5,39.5,60.5,9.8,18.5,0,81.4,49.2,
Nepal,2000,5.4,24.6,75.4,7.6,15.3,0,91.2,68.8,0.1
Netherlands,2012,12.7,79.6,13.2,20,,91.2,41.9,5.5,38.4
Netherlands,2000,8,63.1,36.9,11.4,0,93.9,24.3,9,43
New Zealand,2012,10.2,82.9,17.1,20.5,,10.4,62.8,10.7,28.7
New Zealand,2000,7.6,78,22,15.7,,0,69.9,15.4,28.5
Nicaragua,2012,8.1,54.3,45.7,19.7,11.5,37,85.6,39.1,9.9
Nicaragua,2000,5.4,53.5,46.5,13.1,7.8,27,91.6,42.6,0.6
Niger,2012,6.1,33.1,66.9,8.7,11.9,1.7,89.9,60.2,1
Niger,2000,5.8,26.2,73.8,8.4,23.7,3.3,87.5,64.6,3.9
Nigeria,2012,3.3,31.2,68.8,7.4,5.6,0,95.5,65.8,3.1
Nigeria,2000,2.8,33.5,66.5,5.9,16.2,0,92.7,61.7,5.1
Niue,2012,7.1,98.3,1.7,4.8,62.5,0,100,1.7,0
Niue,2000,7.9,98.5,1.5,6.6,4.5,0,100,1.5,0
Norway,2012,9.3,85,15,18.2,,12.8,94.9,14.2,
Norway,2000,8.4,82.5,17.5,16.4,,17.1,95.5,16.7,
Oman,2012,2.7,80.5,19.5,4.8,,,61.4,12,23.2
Oman,2000,3.1,81.8,18.2,7,0,0,64.4,11.7,21.3
Pakistan,2012,2.8,36.9,63.1,4.7,4.9,2.9,86.8,54.8,0.9
Pakistan,2000,3,21.7,78.3,3.5,0.8,5.8,81,63.4,0.4
Palau,2012,9.5,77.2,22.8,16.5,38.2,0,46.2,10.5,38.9
Palau,2000,12,58.5,41.5,12,25.6,0,73.4,30.4,26.6
Panama,2012,7.2,68.6,31.4,12.7,0.3,33.1,79,24.8,21
Panama,2000,7.8,68.1,31.9,21.3,1,50,81.3,25.9,18.7
Papua New Guinea,2012,4.4,80.2,19.8,11.6,25.7,0,55.9,11.1,5.5
Papua New Guinea,2000,4,81.7,18.3,9.9,23.8,0,56,10.2,5.5
Paraguay,2012,9.7,42.6,57.4,10.3,2.9,35.4,91.4,52.4,8.6
Paraguay,2000,8.1,39.9,60.1,17.7,2.8,52.4,86.6,52.1,13.4
Peru,2012,5.7,58.7,43.3,16.4,0.5,37.2,84.6,32.2,11
Peru,2000,4.9,56.4,43.6,14.1,1.5,45.3,83.4,36.4,12.8
Philippines,2012,4.4,30.4,69.6,8,1.1,36.5,82.8,57.6,12.4
Philippines,2000,3.2,47.6,52.4,8.4,3.5,14.7,77.2,40.5,11.1
Poland,2012,6.8,69.2,30.3,11.1,0.2,86.2,75,22.7,2.3
Poland,2000,5.5,70,30,9.4,0,82.6,100,30,
Portugal,2012,9.9,64,36,13.4,,1.7,76.2,27.4,14.4
Portugal,2000,9.3,66.6,33.4,14.9,0,1.7,72.8,24.3,9.9
Qatar,2012,2.2,83.6,16.4,5.8,0,0,52.2,8.5,38
Qatar,2000,2.2,72.3,27.7,5,0,0,100,27.7,
Republic of Korea,2012,7.6,54.5,45.5,11.7,,77.8,78.8,35.9,12.2
Republic of Korea,2000,4.4,49,51,9.7,,77.3,80.6,41.1,9.6
Republic of Moldova,2012,11.8,45.6,54.4,13.4,7.4,85,82.8,45.1,0.1
Republic of Moldova,2000,6.7,48.5,51.5,8.9,14.7,,83.3,42.9,
Romania,2012,5.6,80.3,19.7,12.2,,83,97,19.1,1
Romania,2000,4.3,81.2,18.8,9.1,,81.9,100,18.8,
Russian Federation,2012,6.5,51.1,48.9,8.9,,38.9,92,44.9,4.2
Russian Federation,2000,5.4,59.9,40.1,12.7,0.2,40.3,74.7,30,8.1
Rwanda,2012,11.2,58.8,41.2,24,45.1,10.5,45.6,18.8,7.4
Rwanda,2000,4.2,39.2,60.8,8.5,52,6.4,40.7,24.8,0.9
Saint Kitts and Nevis,2012,6.5,36.3,63.7,7.1,2.3,0.2,88.8,56.5,9.1
Saint Kitts and Nevis,2000,4.3,60.4,39.6,9.6,5.4,0.5,94.2,37.3,5.8
Saint Lucia,2012,7.9,53.6,46.4,10.3,3.6,3.3,98.7,45.8,1.3
Saint Lucia,2000,5.6,52.6,47.4,11.7,0.3,4.9,98.1,46.5,1.9
Saint Vincent and the Grenadines,2012,5.4,82.1,17.9,15,3,,100,17.9,
Saint Vincent and the Grenadines,2000,3.7,82.3,17.7,10.8,0.3,0,100,17.7,
Samoa,2012,6.7,88.2,11.8,17.3,7.3,0,62.6,7.4,0
Samoa,2000,6,76.8,23.2,13.7,16.2,0.3,81.6,19,0
San Marino,2012,6.5,87.2,12.2,13.1,,73.5,95.7,11.7,4.3
San Marino,2000,5.1,85.8,14.2,20.4,0,100,94.7,13.4,5.3
Sao Tome and Principe,2012,7.9,31.7,68.3,5.6,43,0,75.5,51.5,0
Sao Tome and Principe,2000,8.9,43.2,56.8,9,34.8,0,76.1,43.3,0
Saudi Arabia,2012,3.8,72,28,7.7,0,0,54.3,15.2,21.6
Saudi Arabia,2000,4.2,72.1,27.9,8.6,0,0,66.1,18.5,10.6
Senegal,2012,4.3,50.6,49.4,7.5,23.1,5.1,77.4,38.3,21.1
Senegal,2000,4.6,40.9,59.1,10.1,16.2,7.4,91.6,54.1,7.1
Serbia,2012,10.6,61.2,38.8,13.4,0.4,93.4,95.6,37.1,0.8
Serbia,2000,6.8,67.2,32.8,13.6,1.2,92.2,83.7,27.4,
Seychelles,2012,4.5,93,7,10.4,7.9,,35.4,2.5,2.5
Seychelles,2000,4.6,82,18,7.9,4.5,,99.1,17.9,
Sierra Leone,2012,10.9,17.9,82.1,9.5,35.5,0,76.1,62.5,0.2
Sierra Leone,2000,13.8,28.7,71.3,14.2,7,0,92.9,66.3,0.9
Singapore,2012,4.2,35.9,64.1,11.1,0,14.1,93.7,60.1,4
Singapore,2000,2.7,45,55,7.1,0,4.8,95.7,52.6,0
Slovakia,2012,8.1,69.7,30.3,14.9,,90,73.9,22.4,0
Slovakia,2000,5.5,89.4,10.6,9.4,0.9,94.4,100,10.6,0
Slovenia,2012,9.4,71.5,28.5,13.8,0,91.3,41.7,11.9,48.6
Slovenia,2000,8.3,74,26,13.1,0.2,93.7,44.1,11.5,51
Solomon Islands,2012,5.5,94.4,5.6,13.3,72,0,56.7,3.2,0
Solomon Islands,2000,4.6,94.3,5.7,20.7,13.1,0,56.7,3.2,0
South Africa,2012,8.9,48.4,51.6,14,1.7,2.8,13.8,7.1,81.1
South Africa,2000,8.3,41.3,58.7,13.3,0.3,3.3,22.2,13,72.4
South Sudan,2012,2.7,33.3,66.7,4,32.7,,92.7,61.8,5.2
South Sudan,2000,,,,,,,,,
Spain,2012,9.3,71.7,28.3,13.9,,6.6,77.1,21.8,20.3
Spain,2000,7.2,71.6,28.4,13.2,0,9.6,83.1,23.6,13.7
Sri Lanka,2012,3.1,39.1,60.9,5.9,2,0.1,83,50.6,4.1
Sri Lanka,2000,3.7,48.4,51.6,6.8,0.3,0.3,80.8,41.7,2.8
Sudan,2012,6.7,22.5,77.5,11.1,2.2,10.9,96.1,74.5,1
Sudan,2000,3.4,27.2,72.8,8.3,4.4,8.3,91,66.3,2.4
Suriname,2012,4.8,69,31,12.1,5.3,41.7,54,16.7,31
Suriname,2000,6.2,53.4,46.6,11.7,9.9,33.8,44,20.5,0.8
Swaziland,2012,8.1,72.6,27.4,18.1,21.5,0,42.2,11.5,18.8
Swaziland,2000,5.3,56.3,43.7,10.5,5.8,0,42.4,18.5,18.9
Sweden,2012,9.6,81.3,18.7,15,,,88.1,16.5,1.7
Sweden,2000,8.2,84.9,15.1,12.6,0,0,91.1,13.8,
Switzerland,2012,11.4,65.8,34.2,22.1,,69.2,76.1,26,21
Switzerland,2000,9.9,55.4,44.6,15.4,0,72.8,74,33,23.8
Syrian Arab Republic,2012,3.3,46.1,53.9,5.3,0.9,,100,53.9,
